ranking;project;language;stars;stars_today;forks
1;hacksider/Deep-Live-Cam;Python;47838;590;7052
2;NVIDIA/TensorRT-LLM;C++;9837;17;1239
3;ageerle/ruoyi-ai;Java;1718;249;411
4;alibaba/spring-ai-alibaba;Java;1352;39;311
5;Shubhamsaboo/awesome-llm-apps;Python;21163;352;2476
6;joanrod/star-vector;Python;2173;633;118
7;NirDiamant/GenAI_Agents;Jupyter Notebook;9816;272;1258
8;nf-core/modules;Nextflow;313;0;816
9;Cryakl/Ultimate-RAT-Collection;C++;1615;450;311
10;ocrmypdf/OCRmyPDF;Python;24703;387;1628
